TITCK_ID,TITCK_Ilac_Adi,ATC_Barkod,ATC_Kodu,ATC_Durumu,Match Score
4147,DUPHASTON 10 MG FİLM KAPLI TABLET,8699820010065,G03DB01,Aktif,83.46
4148,"DUPIXENT 200 MG/1,14 ML ENJEKSIYONLUK çöZELTI IçEREN KULLANıMA HAZıR ENJEKTöR",8699809951174,D11AH05,Aktif,83.72
4149,DUPIXENT 300 MG/2 ML ENJEKSIYONLUK çöZELTI IçEREN KULLANıMA HAZıR ENJEKTöR,8699809951174,D11AH05,Aktif,90.8
4157,DUROGESİC 100 MCG/SAAT TRANSDERMAL FLASTER,8699593815041,N02AB03,Aktif,89.99
4158,DUROGESİC 12 MCG/SAAT TRANSDERMAL FLASTER,8699593815102,N02AB03,Aktif,90.04
4159,DUROGESİC 25 MCG/SAAT TRANSDERMAL FLASTER,8699593815010,N02AB03,Aktif,90.01
4160,DUROGESİC 50 MCG/SAAT TRANSDERMAL FLASTER,8699593815041,N02AB03,Aktif,89.33
4161,DUROGESİC 75 MCG/SAAT TRANSDERMAL FLASTER,8699593815034,N02AB03,Aktif,90.1
4163,DUSKONAL 200 MG RETARD KAPSÜL,8680199154986,A03AA04,Aktif,75.56
4165,DUSPATALIN 100MG KAPLI TABLET,8699820120030,A03AA04,Aktif,81.26
4166,"DUTAPROS 0,5MG YUMUŞAK KAPSÜL",8699828190424,G04CB02,Aktif,94.85
4169,DUXET 30 MG GASTRO-REZISTAN SERT KAPSÜL,8699262160014,N06AX21,Aktif,87.64
4170,DUXET 60 MG GASTRO-REZISTAN SERT KAPSÜL,8699262160021,N06AX21,Aktif,87.75
4177,DYNABAC 250 MG ENTERIK KAPLI TABLET,8699514042723,J01FA13,Aktif,81.09
4178,DYNABAC 250MG ENTERIK KAPLI TABLET,8699514042723,J01FA13,Aktif,78.47
4179,DYNACIRC SRO 5 MG KAPSÜL,8699504170009,C08CA03,Pasif,84.93
4183,DYSPORT 500 U ENJEKSIYONLUK ÇöZELTI İÇIN TOZ İÇEREN FLAKON,8699783790110,M03AX01,Aktif,70.79
4187,EBAFİT 10 MG FİLM TABLET,8680881091537,R06AX22,Aktif,82.93
4188,EBAFİT 20 MG FILM TABLET,8697931090068,R06AX22,Pasif,79.74
4196,EBETAXEL 30MG/5ML IV İNFÜZYON İÇIN KONSANTRE ÇÖZELTI İÇEREN FLAKON,8699205760080,L01CD01,Pasif,70.0
4202,EBITEX 10 MG FILM TABLET,8699578090869,N06DX01,Pasif,75.81
4203,EBITEX 10 MG/G ORAL DAMLA,8699578590819,N06DX01,Pasif,73.88
4204,EBİXA 10 MG FİLM KAPLI TABLET,8699795090659,N06DX01,Pasif,72.61
4206,EBIXA 20 MG FILM KAPLI TABLET,8699795090802,N06DX01,Pasif,91.31
4230,EDOLAR 200 MG FILM KAPLI TABLET,8681911090094,M01AB08,Aktif,80.2
4231,EDOLAR 300 MG FILM TABLET,8681911090117,M01AB08,Aktif,80.44
4232,EDOLAR 500MG FILM KAPLI TABLET,8681911090117,M01AB08,Aktif,77.75
4233,EDOLAR 600 MG FİLM  KAPLI TABLET,8681911090094,M01AB08,Aktif,82.98
4239,EDURANT 25 MG FİLM KAPLI TABLET,8699593095375,J05AG05,Aktif,73.86
4240,EFAMAT 1G/2ML IM ENJ. ÇÖZ. IÇEREN AMPUL,8699525756275,M01AG,Aktif,73.76
4241,EFAMAT JEL %5,8699525346117,M02AA06,Aktif,93.84
4242,Efedrin  hidroklorür  0.05  g/ml  Biosel  Ampul,8699788750393,C01CA26,Aktif,82.83
4245,EFERCAL 100 MG EFERVESAN TABLET,8697929020213,A12AA04,Pasif,72.33
4248,EFERMAG 365 MG EFERVESAN TABLET,8699514020011,A12CC10,Aktif,76.44
4250,"EFEXOR XR 37,5 MG MIKROPELLET KAPSÜL",8699572170079,N06AX16,Aktif,74.6
4252,EFFENTORA 100 MCG BUKKAL TABLET,8699638065530,N02AB03,Pasif,81.71
4253,EFFENTORA 200 MCG BUKKAL TABLET,8699638065547,N02AB03,Pasif,81.84
4254,EFFENTORA 400 MCG BUKKAL TABLET,8699638065554,N02AB03,Pasif,82.04
4255,EFFENTORA 800 MCG BUKKAL TABLET,8699638065561,N02AB03,Pasif,82.44
4256,EFFıENT 10 MG FILM KAPLı TABLET,8699673098166,B01AC22,Pasif,83.85
4257,EFIKAS 30 MG MR TABLET,8699536030043,A10BB09,Pasif,78.79
4259,"EFLORİN %13,9 krem",8699708350085,D11AX16,Pasif,75.67
4260,EFPA EFERVESAN TABLET 500 MG,8699587022028,N02BE01,Pasif,82.62
4266,EGIRA 100 MG FILM TABLET,8699536090290,G04BE03,Pasif,78.42
4267,EGIRA 25 MG FILM TABLET,8699536090276,G04BE03,Pasif,78.56
4268,EGIRA 50 MG FILM TABLET,8699536090283,G04BE03,Pasif,78.26
4272,EKİPERTA 1 G IM/IV ENJEKSIYON İÇİN  LİYOFİLIZE TOZ,8699814790102,J01DH03,Aktif,79.61
4275,EKİPİM 1 G IM/IV ENJEKTABL TOZ İÇEREN FLAKON,8699814270413,J01DE01,Aktif,71.03
4284,EKSOFED EKSPEKTORAN ŞURUP,8699570570093,R05CA10,Pasif,73.14
4285,EKSOFED EKSPEKTORAN ŞURUP,8699570570093,R05CA10,Pasif,73.14
4289,EKZOFINEX %1 KREM,8684278010033,D01AE22,Aktif,81.81
4291,ELAPRASE 2 MG/ML INFüZYONLUK çöZELTI HAZıRLAMAK IçIN KONSANTRE,8699943790028,A16AB09,Aktif,79.72
4294,ELEKTRA 25 MG FILM KAPLI TABLET,8699527093873,M01AE17,Aktif,73.28
4295,ELEKTRA 50 MG/2 ML ENJEKTABL ÇÖZELTİ İÇEREN AMPUL,8699527754385,M01AE17,Pasif,71.17
4296,ELEKTRA FORT 50 MG FİLM KAPLI TABLET,8699527093927,M01AE17,Aktif,70.92
4303,ELEPSİ 50 MG+100 MG TEDAVIYE BAşLAMA PAKETI,8699527090254,N03AX18,Pasif,79.64
4306,ELIDEL %1 KREM,8698856350305,D11AH02,Aktif,71.44
4307,ELIGARD 22.5 MG ENJEKSIYONLUK ÇÖZELTI IÇIN SC TOZ IÇEREN ŞIRINGA VE ÇÖZÜCÜ IÇEREN ŞIRINGA,8699559770155,L02AE02,Aktif,86.08
4308,ELIGARD 45 MG ENJEKSİYONLUK ÇÖZELTİ İÇİN S.C. TOZ İÇEREN ŞIRINGA VE ÇÖZÜCÜ İÇEREN ŞIRINGA,8699559770148,L02AE02,Aktif,78.72
4309,ELIGARD 7.5 MG ENJEKSIYONLUK ÇÖZELTI IÇIN SC TOZ IÇEREN ŞIRINGA VE ÇÖZÜCÜ IÇEREN ŞIRINGA,8699559770148,L02AE02,Aktif,83.16
4315,ELIZARIA 300 MG/ 30 ML İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN KONSANTRE,8682966100004,L04AJ01,Aktif,94.38
4320,ELMİRON 100 MG KAPSÜL,8699771000887,G04BX15,Aktif,74.21
4323,"ELOCON %0,1 LOSYON",8683280337114,D07AC13,Aktif,73.39
4324,"ELOCON %0,1 MERHEM",8683280337138,D07AC13,Aktif,70.81
4325,ELOCTA 1000 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,8683125910038,B02BD02,Aktif,74.35
4326,ELOCTA 1500 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,8683125910045,B02BD02,Aktif,74.6
4327,ELOCTA 2000 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,8683125910052,B02BD02,Aktif,74.49
4328,ELOCTA 250 I.U ENJEKSIYONLUK ÇöZELTI HAZıRLAMAK İçIN TOZ VE ÇöZüCü,8683125910014,B02BD02,Aktif,74.3
4329,ELOCTA 3000 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,8683125910069,B02BD02,Aktif,74.6
4330,ELOCTA 500 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,8683125910021,B02BD02,Aktif,74.19
4342,ELUCEF 125 MG EFERVESAN TABLET,8697930021100,J01DD15,Pasif,84.01
4345,ELUCEF 300MG EFERVESAN TABLET,8680881020278,J01DD15,Pasif,87.3
4346,ELUCEF 375 MG EFERVESAN TABLET,8697930021094,J01DD15,Pasif,84.88
4347,ELUCEF 500 MG EFERVESAN TABLET,8697930021087,J01DD15,Pasif,83.29
